Total number of categories,Transaction Time,Current Time MS
452,1,1617567117933
453,0,1617567117934
454,0,1617567117936
455,1,1617567117938
456,0,1617567117939
457,1,1617567117941
458,0,1617567117942
459,1,1617567117944
460,1,1617567117946
461,1,1617567117948
462,1,1617567117950
463,1,1617567117952
464,0,1617567117953
465,0,1617567117955
466,1,1617567117957
467,1,1617567117959
468,0,1617567117960
469,1,1617567117962
470,1,1617567117964
471,1,1617567117966
472,1,1617567117968
473,0,1617567117969
474,1,1617567117971
475,0,1617567117972
476,1,1617567117974
477,0,1617567117975
478,1,1617567117977
479,1,1617567117979
480,0,1617567117980
481,1,1617567117982
482,0,1617567117983
483,1,1617567117985
484,0,1617567117986
485,1,1617567117988
486,1,1617567117990
487,1,1617567117992
488,0,1617567117993
489,0,1617567117995
490,1,1617567117997
491,0,1617567117998
492,1,1617567118000
493,1,1617567118002
494,1,1617567118004
495,0,1617567118005
496,1,1617567118007
497,1,1617567118009
498,0,1617567118010
499,1,1617567118013
500,0,1617567118014
501,0,1617567118016
502,0,1617567118018
503,1,1617567118020
504,1,1617567118022
505,1,1617567118024
506,1,1617567118026
507,1,1617567118028
508,0,1617567118029
509,0,1617567118031
510,1,1617567118033
511,1,1617567118035
512,1,1617567118037
513,1,1617567118039
514,0,1617567118041
515,0,1617567118043
516,0,1617567118045
517,0,1617567118047
518,0,1617567118049
519,0,1617567118051
520,2,1617567118054
521,1,1617567118056
522,1,1617567118058
523,1,1617567118060
524,1,1617567118063
525,1,1617567118066
526,2,1617567118070
527,2,1617567118073
528,1,1617567118076
529,1,1617567118079
530,1,1617567118083
531,1,1617567118088
532,0,1617567118090
533,1,1617567118093
534,1,1617567118096
535,1,1617567118099
536,1,1617567118101
537,1,1617567118103
538,0,1617567118104
539,0,1617567118106
540,1,1617567118108
541,1,1617567118110
542,1,1617567118112
543,1,1617567118114
544,1,1617567118116
545,1,1617567118118
546,1,1617567118120
547,1,1617567118122
548,0,1617567118124
549,1,1617567118127
550,1,1617567118129
551,0,1617567118131
552,0,1617567118133
553,0,1617567118135
554,0,1617567118137
555,1,1617567118140
556,1,1617567118142
557,0,1617567118144
558,0,1617567118146
559,1,1617567118148
560,1,1617567118150
561,1,1617567118152
562,1,1617567118154
563,1,1617567118156
564,1,1617567118158
565,1,1617567118161
566,1,1617567118163
567,0,1617567118164
568,1,1617567118166
569,0,1617567118167
570,1,1617567118169
571,1,1617567118171
572,0,1617567118173
573,1,1617567118175
574,1,1617567118177
575,0,1617567118178
576,1,1617567118180
577,1,1617567118182
578,1,1617567118184
579,0,1617567118186
580,1,1617567118188
581,1,1617567118190
582,1,1617567118192
583,1,1617567118199
584,1,1617567118202
585,1,1617567118204
586,1,1617567118206
587,0,1617567118207
588,1,1617567118209
589,1,1617567118211
590,0,1617567118212
591,1,1617567118214
592,0,1617567118215
593,1,1617567118217
594,0,1617567118218
595,1,1617567118220
596,0,1617567118221
597,1,1617567118223
598,1,1617567118225
599,1,1617567118227
600,0,1617567118228
601,1,1617567118230
602,0,1617567118231
603,1,1617567118233
604,1,1617567118235
605,0,1617567118236
606,1,1617567118238
607,0,1617567118239
