Total number of projects,Transaction Time,Current Time MS
520,0,1617584676019
521,1,1617584676019
522,0,1617584676020
523,1,1617584676020
524,1,1617584676021
525,0,1617584676022
526,1,1617584676022
527,0,1617584676023
528,1,1617584676023
529,1,1617584676024
530,1,1617584676025
531,0,1617584676026
532,1,1617584676026
533,1,1617584676027
534,0,1617584676028
535,1,1617584676028
536,0,1617584676029
537,1,1617584676029
538,0,1617584676030
539,1,1617584676030
540,1,1617584676031
541,0,1617584676032
542,1,1617584676032
543,0,1617584676033
544,1,1617584676033
545,0,1617584676034
546,1,1617584676034
547,1,1617584676035
548,0,1617584676036
549,1,1617584676036
550,0,1617584676037
551,1,1617584676037
552,0,1617584676038
553,1,1617584676038
554,0,1617584676039
555,1,1617584676039
556,0,1617584676040
557,1,1617584676040
558,0,1617584676041
559,1,1617584676041
560,1,1617584676042
561,0,1617584676043
562,1,1617584676043
563,0,1617584676044
564,1,1617584676044
565,0,1617584676045
566,1,1617584676045
567,0,1617584676046
568,1,1617584676046
569,0,1617584676047
570,1,1617584676047
571,1,1617584676048
572,0,1617584676049
573,1,1617584676049
574,0,1617584676050
575,1,1617584676050
576,0,1617584676051
577,1,1617584676051
578,1,1617584676052
579,0,1617584676053
580,1,1617584676053
581,1,1617584676054
582,0,1617584676055
583,1,1617584676055
584,1,1617584676056
585,1,1617584676057
586,1,1617584676058
587,1,1617584676059
588,1,1617584676060
589,1,1617584676061
590,0,1617584676062
591,1,1617584676062
592,1,1617584676063
593,1,1617584676064
594,1,1617584676065
595,1,1617584676066
596,1,1617584676067
597,1,1617584676068
598,1,1617584676069
599,2,1617584676070
600,1,1617584676072
601,1,1617584676073
602,1,1617584676074
603,1,1617584676075
604,1,1617584676076
605,1,1617584676077
606,0,1617584676078
607,0,1617584676079
608,1,1617584676079
609,1,1617584676080
610,1,1617584676081
611,1,1617584676082
612,1,1617584676083
613,1,1617584676084
614,0,1617584676085
615,2,1617584676085
616,1,1617584676087
617,1,1617584676088
618,1,1617584676089
619,1,1617584676090
620,1,1617584676091
621,1,1617584676092
622,1,1617584676093
623,2,1617584676094
624,1,1617584676096
625,1,1617584676097
626,1,1617584676098
627,1,1617584676099
628,1,1617584676100
629,0,1617584676101
630,2,1617584676101
631,0,1617584676103
632,1,1617584676103
633,1,1617584676104
634,1,1617584676105
635,1,1617584676106
636,1,1617584676107
637,1,1617584676108
638,0,1617584676109
639,1,1617584676109
640,1,1617584676110
641,1,1617584676111
642,1,1617584676112
643,1,1617584676113
644,1,1617584676114
645,1,1617584676115
646,1,1617584676116
647,1,1617584676117
648,1,1617584676118
649,1,1617584676119
650,1,1617584676120
651,1,1617584676121
652,1,1617584676122
653,1,1617584676123
654,1,1617584676124
655,1,1617584676125
656,2,1617584676126
657,1,1617584676128
658,1,1617584676129
659,0,1617584676130
660,1,1617584676130
661,1,1617584676131
662,1,1617584676132
663,1,1617584676133
664,1,1617584676134
665,1,1617584676135
666,1,1617584676136
667,3,1617584676137
668,1,1617584676140
669,2,1617584676141
670,1,1617584676143
671,1,1617584676144
672,2,1617584676145
673,1,1617584676147
674,1,1617584676148
675,1,1617584676149
676,2,1617584676150
677,1,1617584676152
678,1,1617584676153
679,1,1617584676154
680,1,1617584676155
681,2,1617584676156
682,1,1617584676158
683,1,1617584676159
684,2,1617584676160
685,0,1617584676162
686,1,1617584676162
687,1,1617584676163
688,2,1617584676164
689,0,1617584676166
690,1,1617584676166
691,1,1617584676167
692,0,1617584676168
693,1,1617584676168
694,0,1617584676169
695,1,1617584676169
696,1,1617584676170
697,0,1617584676171
698,1,1617584676171
699,0,1617584676172
700,1,1617584676172
701,1,1617584676173
702,0,1617584676174
703,1,1617584676174
704,0,1617584676175
705,0,1617584676175
706,0,1617584676176
707,1,1617584676176
708,0,1617584676177
709,1,1617584676177
710,1,1617584676178
711,0,1617584676179
712,1,1617584676179
713,1,1617584676180
